FM_num = 5
FM_indices (indexed from 0) = [4, 96, 431, 752, 1144]
Center_indices_list (indexed from 0, exact order) = [96, 752, 1144, 4, 431, 616, 156, 708, 408, 95, 494, 731, 228, 126, 330, 734, 420, 514, 414, 50]
PC_num = 27
Batch_size = 20
Learning_rate = 0.001
Num_epochs = 4000
Training_ratio = 0.8
Validation_ratio = 0.1
Repeat_training_iters = 3
----------------------------------------------------------
Combination		mean_max_nodal_error/mm		mean_mean_nodal_error/mm		elapsed_time/s
[32, 32]			0.8925				0.3130				161.2900
[32, 64]			0.8462				0.2851				165.9920
[32, 128]			0.8712				0.3074				249.1382
[64, 32]			0.8509				0.2983				169.3653
[64, 64]			0.8625				0.2945				243.0116
[64, 128]			0.8703				0.3100				275.8903
[128, 32]			0.8777				0.3102				249.8873
[128, 64]			0.8225				0.2913				302.4971
[128, 128]			0.8887				0.3053				384.2222
[32, 32, 32]		1.0339				0.3424				189.2787
[32, 32, 64]		0.9665				0.3405				197.7933
[32, 32, 128]		0.9644				0.3400				292.5586
[32, 64, 32]		0.9593				0.3443				189.5596
[32, 64, 64]		0.9845				0.3500				287.8664
[32, 64, 128]		0.9529				0.3431				318.8057
[32, 128, 32]		1.0148				0.3661				293.5178
[32, 128, 64]		0.9110				0.3253				342.6689
[32, 128, 128]		0.9992				0.3533				404.8865
[64, 32, 32]		0.8918				0.3146				185.4124
[64, 32, 64]		0.8901				0.3157				196.3172
[64, 32, 128]		1.0019				0.3593				284.5634
[64, 64, 32]		0.8760				0.3233				271.3428
[64, 64, 64]		0.9388				0.3294				296.3504
[64, 64, 128]		0.9749				0.3387				340.4048
[64, 128, 32]		0.9499				0.3338				325.8111
[64, 128, 64]		0.9403				0.3442				377.5068
[64, 128, 128]		0.9451				0.3231				427.9175
[128, 32, 32]		1.0870				0.3823				278.1159
[128, 32, 64]		1.0336				0.3617				291.9069
[128, 32, 128]		1.1061				0.3963				321.8841
[128, 64, 32]		0.9219				0.3352				323.4811
[128, 64, 64]		0.9237				0.3249				350.6795
[128, 64, 128]		0.9283				0.3299				395.9939
[128, 128, 32]		1.1969				0.4108				400.4251
[128, 128, 64]		0.9101				0.3146				452.6905
[128, 128, 128]		0.9626				0.3402				507.9108
